title,category_name,price_gbp,rating,in_stock
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5,1
A Time of Torment (Charlie Parker #14),Mystery,48.35,5,1
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Fantasy,37.51,5,1
King's Folly (The Kinsman Chronicles #1),Fantasy,39.61,5,1
Mrs. Houdini,Historical Fiction,30.25,5,1
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,13.34,5,1
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5,1
The Passion of Dolssa,Historical Fiction,28.32,5,1
The Red Tent,Historical Fiction,35.66,5,1
The Star-Touched Queen,Fantasy,46.02,5,1
