title,price_gbp,rating
Sharp Objects,47.82,4
The Past Never Ends,56.5,4
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4
A Time of Torment (Charlie Parker #14),48.35,5
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4
A Flight of Arrows (The Pathfinders #2),55.53,5
Mrs. Houdini,30.25,5
The Marriage of Opposites,28.08,4
A Paris Apartment,39.01,4
World Without End (The Pillars of the Earth #2),32.97,4
The Passion of Dolssa,28.32,5
Voyager (Outlander #3),21.07,5
The Red Tent,35.66,5
Princess Between Worlds (Wide-Awake Princess #5),13.34,5
The Star-Touched Queen,46.02,5
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5
City of Glass (The Mortal Instruments #3),56.02,4
The Star-Touched Queen,32.3,5
King's Folly (The Kinsman Chronicles #1),39.61,5
