title,price_gbp
"In a Dark, Dark Wood",19.63
A Murder in Time,16.64
That Darkness (Gardiner and Renner #1),13.92
Tastes Like Fear (DI Marnie Rome #3),10.69
A Study in Scarlet (Sherlock Holmes #1),16.73
Poisonous (Max Revere Novels #3),26.8
Hide Away (Eve Duncan #20),11.84
The Widow,27.26
Playing with Fire,13.71
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37
Delivering the Truth (Quaker Midwife Mystery #1),20.89
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69
The Marriage of Opposites,28.08
"Love, Lies and Spies",20.55
Lilac Girls,17.28
The Constant Princess (The Tudor Court #1),16.62
The Passion of Dolssa,28.32
Girl With a Pearl Earring,26.77
Voyager (Outlander #3),21.07
Unicorn Tracks,18.78
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02
Princess Between Worlds (Wide-Awake Princess #5),13.34
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09
Island of Dragons (Unwanteds #7),29.65
