title,category_id,rating
Sharp Objects,1,4
The Past Never Ends,1,4
The Murder of Roger Ackroyd (Hercule Poirot #4),1,4
A Time of Torment (Charlie Parker #14),1,5
Murder at the 42nd Street Library (Raymond Ambler #1),1,4
What Happened on Beale Street (Secrets of the South Mysteries #2),1,5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),1,5
Delivering the Truth (Quaker Midwife Mystery #1),1,4
A Flight of Arrows (The Pathfinders #2),2,5
Mrs. Houdini,2,5
The Marriage of Opposites,2,4
A Paris Apartment,2,4
World Without End (The Pillars of the Earth #2),2,4
The Passion of Dolssa,2,5
Voyager (Outlander #3),2,5
The Red Tent,2,5
Princess Between Worlds (Wide-Awake Princess #5),3,5
The Star-Touched Queen,3,5
The Bane Chronicles (The Bane Chronicles #1-11),3,4
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),3,5
City of Glass (The Mortal Instruments #3),3,4
The Star-Touched Queen,3,5
King's Folly (The Kinsman Chronicles #1),3,5
